dataset,column,source_type,facet,timing,panel_use,normalization,description,rationale
bookings,minute_regulation,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The minute of regulation time in which the booking occurred.,In-event or post-event observation; explanatory/anchor use only.
bookings,minute_stoppage,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The minute of stoppage time in which the booking occurred. Coded {0} if the substitution did not occur during stoppage time.,In-event or post-event observation; explanatory/anchor use only.
bookings,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player who was booked. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
bookings,red_card,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the booking was a red card. Coded {1} if the card is a red card and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
bookings,second_yellow_card,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the booking was a second yellow card. Coded {1} if the booking is a second yellow and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
bookings,sending_off,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the booking resulted in the player being sent off. Coded {1} if the player was sent off and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
bookings,shirt_number,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The shirt number of the player who was booked.,In-event or post-event observation; explanatory/anchor use only.
bookings,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
bookings,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player who was booked.,In-event or post-event observation; explanatory/anchor use only.
bookings,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team of the player who was booked. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
bookings,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player who was booked.,In-event or post-event observation; explanatory/anchor use only.
bookings,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
bookings,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
bookings,yellow_card,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the booking was a yellow card. Coded {1} if the card is a yellow card and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
confederations,confederation_code,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The abbreviation for the confederation.,Entity property knowable before the match/tournament.
confederations,confederation_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the confederation. Has the format {CF-#}, where the number is a counter that is assigned with the confederations sorted in alphabetical order.",Stable id used for joins and readback.
confederations,confederation_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the confederation.,Entity property knowable before the match/tournament.
confederations,confederation_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for the confederation.,Link/provenance field.
confederations,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
goals,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
goals,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,goal_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the goal. Has the format {G-####}, where the number is a counter that is assigned with the data sorted by the match ID, then the minute of the goal.",Stable id used for joins and readback.
goals,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
goals,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
goals,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
goals,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
goals,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match in which the goal occurred. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
goals,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the match in which the goal occurred.,In-event or post-event observation; explanatory/anchor use only.
goals,match_period,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The period of the match in which the goal occurred. The possible values are: {first half}, {first half, stoppage time}, {second half}, {second half, stoppage time}, {extra time, first half}, {extra time, first half, stoppage time}, {extra time, second half}, {extra time, second half, stoppage time}, {after extra time}.",In-event or post-event observation; explanatory/anchor use only.
goals,minute_label,text,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,The minute of the match in which the goal occurred in the format {#'} or {#'+#'}.,In-event or post-event observation; explanatory/anchor use only.
goals,minute_regulation,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The minute of regulation time in which the substitution occurred.,In-event or post-event observation; explanatory/anchor use only.
goals,minute_stoppage,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The minute of stoppage time in which the goal occurred. Coded {0} if the substitution did not occur during stoppage time.,In-event or post-event observation; explanatory/anchor use only.
goals,own_goal,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,Whether the goal was an own goal. Coded {1} if the goal was an own goal and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
goals,penalty,boolean,event_outcome,ex_post,anchor_or_explanatory_only,boolean to 0.0/1.0 when projected,"Whether the goal was a penalty that occurred during the game, as opposed to during a penalty shootout. Coded {1} if the goal was a penalty that occurred during the game and {0} otherwise.",In-event or post-event observation; explanatory/anchor use only.
goals,player_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the player who scored the goal. References {player_id} in the {players} dataset.,Stable id used for joins and readback.
goals,player_team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,player_team_id,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,"The unique ID number for the team of the player who scored the goal. References {team_id} in the {teams} dataset. For own goals, this is the team of the player who scored the own goal, not the team that is awarded the goal.",In-event or post-event observation; explanatory/anchor use only.
goals,player_team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,shirt_number,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The shirt number of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
goals,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the team that scored the goal. References {team_id} in the {teams} dataset. For own goals, this is the team that is awarded the goal, not the team of the player who scored the own goal.",Stable id used for joins and readback.
goals,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the player who scored the goal.,In-event or post-event observation; explanatory/anchor use only.
goals,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
goals,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
group_standings,advanced,boolean,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team advanced out of the group. Coded {1} if the team advanced and {0} otherwise.,Realized result/performance; never allowed in future-prediction panel.
group_standings,draws,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of matches that the team drew in the group stage.,Realized result/performance; never allowed in future-prediction panel.
group_standings,goal_difference,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The team's goal difference in the group stage.,Realized result/performance; never allowed in future-prediction panel.
group_standings,goals_against,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of goals scored against the team in the group stage.,Realized result/performance; never allowed in future-prediction panel.
group_standings,goals_for,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of goals scored by the team in the group stage.,Realized result/performance; never allowed in future-prediction panel.
group_standings,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
group_standings,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
group_standings,losses,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of matches that the team lost in the group stage.,Realized result/performance; never allowed in future-prediction panel.
group_standings,played,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of matches that the team played in the group.,Realized result/performance; never allowed in future-prediction panel.
group_standings,points,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of points that the team earned in the group.,Realized result/performance; never allowed in future-prediction panel.
group_standings,position,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The team's final position in the group.,Realized result/performance; never allowed in future-prediction panel.
group_standings,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
group_standings,stage_number,integer,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of the stage.,In-event or post-event observation; explanatory/anchor use only.
group_standings,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team.,In-event or post-event observation; explanatory/anchor use only.
group_standings,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
group_standings,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team.,In-event or post-event observation; explanatory/anchor use only.
group_standings,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
group_standings,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
group_standings,wins,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The number of matches that the team won in the group stage.,Realized result/performance; never allowed in future-prediction panel.
groups,count_teams,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of teams in the group.,"Fixture, tournament, role, venue, or appointment context."
groups,group_name,text,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The name of the group.,"Fixture, tournament, role, venue, or appointment context."
groups,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
groups,stage_name,enum,context,ex_ante,predictive_allowed,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.","Fixture, tournament, role, venue, or appointment context."
groups,stage_number,integer,context,ex_ante,predictive_allowed,numeric min/max or bounded tournament-scale normalization,The number of the stage.,"Fixture, tournament, role, venue, or appointment context."
groups,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
groups,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
host_countries,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
host_countries,performance,text,outcome_anchor,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,The furthest stage of the tournament reached by the host country's team.,Realized result/performance; never allowed in future-prediction panel.
host_countries,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team.,In-event or post-event observation; explanatory/anchor use only.
host_countries,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
host_countries,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team.,In-event or post-event observation; explanatory/anchor use only.
host_countries,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
host_countries,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,away_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the away team. Coded {1} if the team was the away team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,country_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the manager's home country.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,family_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The family name of the manager.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,given_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The given name of the manager.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,group_name,text,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The name of the group.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,home_team,boolean,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,Whether the team was the home team. Coded {1} if the team was the home team and {0} otherwise.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
manager_appearances,manager_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the manager. References {manager_id} in the {managers} dataset.,Stable id used for joins and readback.
manager_appearances,match_date,date,event_outcome,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The date of the match in the format {YYYY-MM-DD}.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,match_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the match. References {match_id} in the {matches} dataset.,Stable id used for joins and readback.
manager_appearances,match_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the match.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,stage_name,enum,event_outcome,ex_post,anchor_or_explanatory_only,categorical label; anchor enum or one-hot only in explanatory panels,"The stage of the tournament in which the match occurred. The possible values are: {first round}, {second round}, {group stage}, {round of sixteen}, {quarter-finals}, {semi-finals}, {third place match}, {final}. Note that not all values are applicable to all tournaments.",In-event or post-event observation; explanatory/anchor use only.
manager_appearances,team_code,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The 3-letter code for the team of the manager.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team of the manager. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
manager_appearances,team_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the team of the manager.,In-event or post-event observation; explanatory/anchor use only.
manager_appearances,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
manager_appearances,tournament_name,text,event_outcome,ex_post,anchor_or_explanatory_only,categorical/string token or one-hot family in projector,The name of the tournament.,In-event or post-event observation; explanatory/anchor use only.
manager_appointments,country_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the manager's home country.,"Fixture, tournament, role, venue, or appointment context."
manager_appointments,family_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the manager.,"Fixture, tournament, role, venue, or appointment context."
manager_appointments,given_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name of the manager.,"Fixture, tournament, role, venue, or appointment context."
manager_appointments,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
manager_appointments,manager_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the manager. References {manager_id} in the {managers} dataset.,Stable id used for joins and readback.
manager_appointments,team_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the team.,"Fixture, tournament, role, venue, or appointment context."
manager_appointments,team_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the team. References {team_id} in the {teams} dataset.,Stable id used for joins and readback.
manager_appointments,team_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the team of the manager.,"Fixture, tournament, role, venue, or appointment context."
manager_appointments,tournament_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the tournament. References {tournament_id} in the {tournaments} dataset.,Stable id used for joins and readback.
manager_appointments,tournament_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the tournament.,"Fixture, tournament, role, venue, or appointment context."
managers,country_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the manager's home country.,Entity property knowable before the match/tournament.
managers,family_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The family name of the manager.,Entity property knowable before the match/tournament.
managers,female,boolean,pedigree,ex_ante,predictive_allowed,boolean to 0.0/1.0 when projected,Whether the manager is female. Coded {1} if the manager is female and {0} if the manager is male.,Entity property knowable before the match/tournament.
managers,given_name,text,pedigree,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The given name of the manager.,Entity property knowable before the match/tournament.
managers,key_id,integer,lineage,metadata,not_projected,stable categorical id; metadata/token only,The unique ID number for the observation.,Stable id used for joins and readback.
managers,manager_id,text,lineage,metadata,not_projected,stable categorical id; metadata/token only,"The unique ID number for the manager. Has the format {M-####}, where the number is a counter that is assigned with the data sorted by the year of the manager's first appearance, then by the manager's family name, and then by the manager's given name.",Stable id used for joins and readback.
managers,manager_wikipedia_link,text,provenance,metadata,not_projected,store as provenance metadata; do not project,The Wikipedia link for the manager.,Link/provenance field.
matches,away_team_code,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The 3-letter code for the away team.,"Fixture, tournament, role, venue, or appointment context."
matches,away_team_id,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The unique ID number for the away team. References {team_id} in the {teams} dataset.,"Fixture, tournament, role, venue, or appointment context."
matches,away_team_name,text,context,ex_ante,predictive_allowed,categorical/string token or one-hot family in projector,The name of the away team. See the {teams} dataset.,"Fixture, tournament, role, venue, or appointment context."
matches,away_team_score,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score of the away team.,Realized result/performance; never allowed in future-prediction panel.
matches,away_team_score_margin,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score margin for the away team.,Realized result/performance; never allowed in future-prediction panel.
matches,away_team_score_penalties,integer,outcome_anchor,ex_post,anchor_or_explanatory_only,numeric min/max or bounded tournament-scale normalization,The score of the away team in the penalty shootout. Coded {NA} if there was not a penalty shootout.,Realized result/performance; never allowed in future-prediction panel.
